reference,candidate
"def remove_duplicates_manual(lst):
    unique_elements = []
    for elem in lst:
        if elem not in unique_elements:
            unique_elements.append(elem)
    return unique_elements","def remove_duplicates_manual(lst):
    unique_elements = []
    for elem in lst:
        if elem not in unique_elements:
            unique_elements.append(elem)
    return unique_elements"
"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
"def is_palindrome(s):
    return s == s[::-1]","def is_palindrome(s):
    return s == s[::-1]"
"def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)","def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)"
"def sum_list(lst):
    total = 0
    for num in lst:
        total += num
    return total","def sum_list(lst):
    total = 0
    for num in lst:
        total += num
    return total"
"def reverse_string(s):
    return s[::-1]","def reverse_string(s):
    return s[::-1]"
"def find_max(lst):
    max_num = lst[0]
    for num in lst:
        if num > max_num:
            max_num = num
    return max_num","def find_max(lst):
    max_num = lst[0]
    for num in lst:
        if num > max_num:
            max_num = num
    return max_num"
"def count_vowels(s):
    count = 0
    vowels = 'aeiouAEIOU'
    for char in s:
        if char in vowels:
            count += 1
    return count","def count_vowels(s):
    count = 0
    vowels = 'aeiouAEIOU'
    for char in s:
        if char in vowels:
            count += 1
    return count"
"def gcd(a, b):
    while b != 0:
        a, b = b, a % b
    return a","def gcd(a, b):
    while b != 0:
        a, b = b, a % b
    return a"
"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True","def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
