reference,candidate
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over a lazy dog."
"A journey of a thousand miles begins with a single step.","A journey of a thousand miles starts with a single step."
"To be or not to be, that is the question.","To be or not to be that is the question."
"All that glitters is not gold.","Not all that glitters is gold."
"The only thing we have to fear is fear itself.","The only thing we should fear is fear itself."
"I think, therefore I am.","I think, therefore I exist."
"In the end, we only regret the chances we didn't take.","In the end, we regret only the chances we didn't take."
"Life is what happens when you're busy making other plans.","Life happens when you're busy making other plans."
"To infinity and beyond!","To infinity and beyond!"
"May the Force be with you.","May the force be with you."
